id,name,category,progress,goal,description,date_until,date_created,is_favorite,is_archived
1f8a2b30-1a11-4e1a-9c01-000000000001,Refactor login form,Frontend,80.00,Migrate to Formik/Yup,Replace manual validation with Formik.,2026-07-10,2026-06-01 09:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000002,Fix JWT expiry bug,Backend,45.00,Stabilize auth secret key,Secret regenerates on every restart breaking JWT.,2026-07-05,2026-06-10 10:30:00,,
1f8a2b30-1a11-4e1a-9c01-000000000003,Cevapi clicker polish,Personal,60.00,Add upgrade tree,Add prestige system and sound effects.,2026-08-01,2026-05-20 14:15:00,,
1f8a2b30-1a11-4e1a-9c01-000000000004,Roulette WebSocket sync,Frontend,90.00,Real-time bet updates,Sync bets across clients via WebSocket.,2026-07-15,2026-06-05 08:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000005,Dockerize PostgreSQL,DevOps,100.00,Stable local dev DB,Set up Docker Compose with persistent volume.,2026-06-25,2026-06-01 11:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000006,Little Bambus order status,Backend,30.00,Align enums frontend/backend,Fix pending/processing/delivered mismatch.,2026-07-20,2026-06-12 13:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000007,Theme MUI components,Frontend,55.00,Use createTheme properly,Replace plain CSS class targeting with theme.,2026-07-18,2026-06-08 09:45:00,,true
1f8a2b30-1a11-4e1a-9c01-000000000008,M231 cheat sheet,School,100.00,Pass data protection exam,Summarize DSG/DSGVO key points.,2026-06-20,2026-06-02 16:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000009,Digitaltechnik LB5 prep,School,70.00,Master Boolean algebra,Practice De Morgan's laws and circuit synthesis.,2026-06-28,2026-06-09 10:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000010,PyPass encryption module,Personal,95.00,Implement Fernet encryption,Add password encryption with Fernet.,2026-06-30,2026-05-25 12:30:00,,
1f8a2b30-1a11-4e1a-9c01-000000000011,Fix SQLite WAL mode,Backend,100.00,Resolve readonly DB errors,Enable WAL mode for exFAT-mounted SSD.,2026-06-15,2026-05-28 09:20:00,,
1f8a2b30-1a11-4e1a-9c01-000000000012,Backup script PAP review,School,100.00,Align script with PAP diagram,Correct Bash script for Modul 122 LB1.,2026-06-10,2026-05-15 08:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000013,MJ presentation slides,School,75.00,Finish 12-15min deck,Cover MJ life career controversies and 2026 media.,2026-06-26,2026-06-15 14:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000014,CSV import for orders,Backend,50.00,Bulk import order data,Fix CSV parsing issues in Docker Postgres setup.,2026-07-22,2026-06-14 11:10:00,,
1f8a2b30-1a11-4e1a-9c01-000000000015,Confirmation popup flow,Frontend,40.00,Fix broken modal state,Resolve stale closures in useEffect.,2026-07-25,2026-06-16 15:30:00, true,
1f8a2b30-1a11-4e1a-9c01-000000000016,TMDB movie search,Personal,85.00,Polish search UI,Add debounce and loading states.,2026-07-12,2026-05-30 10:00:00,,
1f8a2b30-1a11-4e1a-9c01-000000000017,Risk management notes,School,65.00,Understand AHV/Pensionskasse,Summarize three-pillar pension system.,2026-07-01,2026-06-11 09:30:00,,
1f8a2b30-1a11-4e1a-9c01-000000000018,Atomic Design refactor,Frontend,20.00,Reorganize components,Split components into atoms molecules organisms.,2026-08-05,2026-06-18 13:45:00,,
1f8a2b30-1a11-4e1a-9c01-000000000019,Oders typo cleanup,Frontend,10.00,Rename Oders to Orders,Fix naming typo across component files.,2026-07-08,2026-06-17 10:15:00,,
1f8a2b30-1a11-4e1a-9c01-000000000020,Alert component system,Frontend,90.00,Reusable alert across app,Build alert/toast component for roulette app.,2026-07-03,2026-06-04 16:20:00,,
