id,name,category,frequency,description,date_until,progress,date_created,amount_did,is_favorite,is_archived,duration_minutes,start_time,user_id
aaaaaaaa-0001-0001-0001-000000000001,Joggen,PERSONAL,DAILY,5 km im Wald,2026-12-31 00:00:00,0.6,2026-01-10 09:00:00,18,true,false,45,2026-07-20 07:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000002,Deutsch lernen,SCHOOL,WEEKLY,Vokabeln wiederholen,,0.25,2026-02-01 10:00:00,3,false,false,30,2026-07-21 18:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000003,Meditieren,PERSONAL,DAILY,10 Minuten Achtsamkeit,,0.9,2026-03-15 07:00:00,27,true,false,10,2026-07-22 06:30:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000004,Zimmer aufräumen,OTHER,MONTHLY,Gründlich putzen,2026-12-31 00:00:00,0.0,2026-04-01 12:00:00,0,false,true,60,2026-07-01 15:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000005,Krafttraining,PERSONAL,WEEKLY,Ganzkörper-Workout im Gym,2026-12-31 00:00:00,0.55,2026-01-15 17:00:00,14,true,false,60,2026-07-21 17:30:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000006,Tagebuch schreiben,PERSONAL,DAILY,Reflexion über den Tag,,0.35,2026-02-20 21:00:00,10,false,false,15,2026-07-23 21:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000007,Buch lesen,SCHOOL,DAILY,Mindestens 20 Seiten,2026-12-31 00:00:00,0.7,2026-03-01 20:00:00,21,false,false,25,2026-07-22 20:30:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000008,Wäsche waschen,OTHER,WEEKLY,Wäsche waschen und aufhängen,,0.8,2026-01-08 10:00:00,24,false,false,40,2026-07-19 10:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000009,Yoga,PERSONAL,DAILY,Morgenroutine,,0.45,2026-04-10 06:30:00,13,true,false,20,2026-07-23 06:30:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
aaaaaaaa-0001-0001-0001-000000000010,Finanzen checken,WORK,MONTHLY,Kontoauszüge prüfen,,0.0,2026-06-01 12:00:00,0,false,false,30,2026-07-01 12:00:00,4c7475f6-1962-4b9b-89d2-99748b0a135a
bbbbbbbb-0002-0002-0002-000000000001,Gitarre üben,PERSONAL,DAILY,Neue Akkorde lernen,,0.4,2026-01-20 16:00:00,12,true,false,30,2026-07-23 19:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000002,Wasser trinken,PERSONAL,DAILY,2 Liter pro Tag,,0.75,2026-01-01 08:00:00,22,false,false,5,2026-07-23 08:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000003,Buchhaltung,WORK,WEEKLY,Rechnungen sortieren,2026-12-31 00:00:00,0.5,2026-05-05 11:00:00,6,false,false,90,2026-07-19 09:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000004,Sprachkurs Französisch,SCHOOL,WEEKLY,Online-Kurs auf Duolingo,,0.15,2026-06-01 20:00:00,2,true,false,20,2026-07-22 20:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000005,Radfahren,PERSONAL,WEEKLY,Rundtour um den See,2026-12-31 00:00:00,0.6,2026-02-05 09:00:00,16,true,false,75,2026-07-20 09:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000006,Kochen üben,PERSONAL,WEEKLY,Neues Rezept ausprobieren,,0.3,2026-03-10 18:00:00,8,false,false,50,2026-07-21 18:30:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000007,Steuererklärung,WORK,MONTHLY,Belege sammeln und einreichen,2026-12-31 00:00:00,0.2,2026-04-01 14:00:00,1,false,false,120,2026-07-05 14:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000008,Spazieren gehen,PERSONAL,DAILY,30 Minuten an der frischen Luft,,0.85,2026-01-12 17:00:00,26,false,false,30,2026-07-23 17:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000009,Podcast hören,SCHOOL,WEEKLY,Themenbezogene Episoden,,0.5,2026-05-01 08:00:00,10,false,false,40,2026-07-20 08:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
bbbbbbbb-0002-0002-0002-000000000010,Pflanzen giessen,OTHER,WEEKLY,Balkonpflanzen versorgen,,0.9,2026-01-25 08:00:00,27,false,false,10,2026-07-22 08:00:00,2f150f1d-580f-43e8-9402-1a78aa0e22a3
